feature,shap_value,absolute_shap_value
Feature_495,0.00026590532157229064,0.00026590532157229064
Feature_558,0.000264522492748398,0.000264522492748398
Feature_473,0.00026443273998211225,0.00026443273998211225
Feature_347,0.0002612908946503012,0.0002612908946503012
Feature_478,-0.00026099527483893327,0.00026099527483893327
Feature_945,0.00026048001691037826,0.00026048001691037826
Feature_551,0.00025858860915832336,0.00025858860915832336
Feature_467,-0.00025839171519919545,0.00025839171519919545
Feature_296,0.0002568605195165219,0.0002568605195165219
Feature_559,0.0002568221212914068,0.0002568221212914068
Feature_74,-0.0002564055068978632,0.0002564055068978632
Feature_972,-0.0002552496821999739,0.0002552496821999739
Feature_230,0.00025505307890853144,0.00025505307890853144
Feature_541,0.0002550497347558434,0.0002550497347558434
Feature_713,0.00025361828818859066,0.00025361828818859066
Feature_883,0.00025189507923187196,0.00025189507923187196
Feature_760,0.00025176760423050836,0.00025176760423050836
Feature_346,0.00025147196743091627,0.00025147196743091627
Feature_802,0.0002506328613911535,0.0002506328613911535
Feature_63,0.0002506158562437122,0.0002506158562437122
Feature_215,-0.00025037825662309386,0.00025037825662309386
Feature_365,0.00024888771013593215,0.00024888771013593215
Feature_40,0.00024846753891324627,0.00024846753891324627
Feature_312,0.0002452048441318766,0.0002452048441318766
Feature_775,0.00024468984900295255,0.00024468984900295255
Feature_302,0.00024366894353676117,0.00024366894353676117
Feature_91,-0.00024335434995052197,0.00024335434995052197
Feature_344,-0.00024248047923720151,0.00024248047923720151
Feature_703,0.00024191756141590305,0.00024191756141590305
Feature_84,-0.00023884167926098597,0.00023884167926098597
Feature_272,-0.00023829315523016704,0.00023829315523016704
Feature_406,-0.00023629195054127193,0.00023629195054127193
Feature_369,0.00023620383331035555,0.00023620383331035555
Feature_608,0.0002356876048406775,0.0002356876048406775
Feature_746,-0.00023565661214831836,0.00023565661214831836
Feature_571,0.00023449178642749756,0.00023449178642749756
Feature_718,0.0002344378366615274,0.0002344378366615274
Feature_189,0.00022764827754144789,0.00022764827754144789
Feature_867,0.00022741875356587114,0.00022741875356587114
Feature_453,0.00022736442748964693,0.00022736442748964693
Feature_888,0.00022632042492574557,0.00022632042492574557
Feature_191,-0.00022064766932089697,0.00022064766932089697
Feature_691,0.00021967540789319173,0.00021967540789319173
Feature_273,-0.0002173653315651336,0.0002173653315651336
Feature_416,0.000215522716544001,0.000215522716544001
Feature_741,-0.00021376894039349282,0.00021376894039349282
Feature_47,-0.0002137531302398088,0.0002137531302398088
Feature_310,-0.00021349360551312202,0.00021349360551312202
Feature_804,0.00021268872147629737,0.00021268872147629737
Feature_1020,0.00021183180092132047,0.00021183180092132047
Feature_492,0.00021172884084080579,0.00021172884084080579
Feature_325,0.00021073190047900424,0.00021073190047900424
Feature_440,-0.00020962427319318522,0.00020962427319318522
Feature_278,0.00020952302540536038,0.00020952302540536038
Feature_180,0.00020860516400716733,0.00020860516400716733
Feature_239,-0.00020509173547907266,0.00020509173547907266
Feature_648,-0.0002010982096999214,0.0002010982096999214
Feature_499,0.00020093244547751964,0.00020093244547751964
Feature_932,0.00019865477119310527,0.00019865477119310527
Feature_21,0.00019635208117506407,0.00019635208117506407
Feature_1016,0.00019578472805733326,0.00019578472805733326
Feature_386,0.00019574445995658606,0.00019574445995658606
Feature_233,0.00019559864505254155,0.00019559864505254155
Feature_611,0.00019478397873172072,0.00019478397873172072
Feature_297,0.0001939023140948848,0.0001939023140948848
Feature_532,0.0001937454691142193,0.0001937454691142193
Feature_449,0.00019208359534786723,0.00019208359534786723
Feature_744,0.00019191932013200132,0.00019191932013200132
Feature_226,0.00019186154401495514,0.00019186154401495514
Feature_102,-0.00018935023288577213,0.00018935023288577213
Feature_330,0.0001868749573054629,0.0001868749573054629
Feature_1003,0.00018663536679014214,0.00018663536679014214
Feature_838,0.00018662926093384157,0.00018662926093384157
Feature_724,0.00018625451354353117,0.00018625451354353117
Feature_976,0.00018598561912767765,0.00018598561912767765
Feature_175,-0.00018596825808344874,0.00018596825808344874
Feature_30,-0.00018576874922473507,0.00018576874922473507
Feature_601,0.00018549630795632765,0.00018549630795632765
Feature_252,0.0001849969738603363,0.0001849969738603363
Feature_491,-0.00018377854433765606,0.00018377854433765606
Feature_984,-0.00018212366146144632,0.00018212366146144632
Feature_477,0.00018081041273489972,0.00018081041273489972
Feature_50,0.0001762223038349475,0.0001762223038349475
Feature_701,-0.0001750963202357525,0.0001750963202357525
Feature_456,-0.00017471060481511814,0.00017471060481511814
Feature_834,0.00017295346994615103,0.00017295346994615103
Feature_589,0.00017156482467726165,0.00017156482467726165
Feature_179,0.0001715513804992952,0.0001715513804992952
Feature_653,0.00017136538233501143,0.00017136538233501143
Feature_676,0.000171246301297856,0.000171246301297856
Feature_260,0.00017001254303977475,0.00017001254303977475
Feature_655,-0.00016873057583325135,0.00016873057583325135
Feature_6,0.00016821593780605326,0.00016821593780605326
Feature_652,0.00016735818637243937,0.00016735818637243937
Feature_158,-0.0001663958256369824,0.0001663958256369824
Feature_915,-0.00016590572206951038,0.00016590572206951038
Feature_828,0.00016504235044521919,0.00016504235044521919
Feature_569,0.00016406746544816997,0.00016406746544816997
Feature_135,-0.00016376979919186852,0.00016376979919186852
Feature_380,0.00016375580119529332,0.00016375580119529332
Feature_892,0.00016261289256362942,0.00016261289256362942
Feature_578,0.00016237264208029956,0.00016237264208029956
Feature_267,-0.00016129437201470865,0.00016129437201470865
Feature_186,0.00015964220493174252,0.00015964220493174252
Feature_694,0.0001583074825248332,0.0001583074825248332
Feature_947,0.00015717769896809842,0.00015717769896809842
Feature_508,0.00015707403979945412,0.00015707403979945412
Feature_609,0.00015659482192859287,0.00015659482192859287
Feature_663,0.0001557829693729218,0.0001557829693729218
Feature_475,-0.00015524243911954727,0.00015524243911954727
Feature_430,0.00015512796349639757,0.00015512796349639757
Feature_985,0.00015111370145859838,0.00015111370145859838
Feature_247,0.000149172183328119,0.000149172183328119
Feature_263,0.0001484545225957845,0.0001484545225957845
Feature_168,0.00014757055243535432,0.00014757055243535432
Feature_208,-0.00014743939279469488,0.00014743939279469488
Feature_387,0.00014582096744163663,0.00014582096744163663
Feature_501,0.00014577090122202207,0.00014577090122202207
Feature_717,-0.0001454474158163066,0.0001454474158163066
Feature_778,0.00014452076205770937,0.00014452076205770937
Feature_801,-0.00014432638143034636,0.00014432638143034636
Feature_66,-0.000143446299534844,0.000143446299534844
Feature_697,0.00014107988841715268,0.00014107988841715268
Feature_626,-0.0001408032053222996,0.0001408032053222996
Feature_970,0.00014054816481802844,0.00014054816481802844
