feature,importance
Feature_776,0.00042898307414820924
Feature_240,0.0004275329028872273
Feature_340,0.0004252681869666352
Feature_384,0.0004201994836682115
Feature_63,0.00041954090325614776
Feature_171,0.0004194106067396676
Feature_164,0.00041901783283365403
Feature_860,0.00041855935353036453
Feature_332,0.00041833716337605456
Feature_21,0.00041813842268489064
Feature_683,0.0004160346734817751
Feature_646,0.00041493538742764244
Feature_345,0.00041427575142758696
Feature_645,0.0004128727499921768
Feature_943,0.00041268681150162035
Feature_124,0.0004103179352011455
Feature_677,0.0004074522685824447
Feature_268,0.00040686775744932884
Feature_112,0.00040672306899613606
Feature_195,0.00040461300514155587
Feature_110,0.00040343981519069236
Feature_736,0.00040272905452012366
Feature_156,0.0004024609479364985
Feature_506,0.0004015520210455371
Feature_749,0.0003985933690256353
Feature_168,0.0003964835293345416
Feature_385,0.00039513385200683405
Feature_895,0.0003938019602701253
Feature_40,0.00039334654897572
Feature_422,0.0003931348706845701
Feature_761,0.00039243889289572817
Feature_718,0.00039108170387946924
Feature_820,0.0003892580473648087
Feature_301,0.00038876523311003763
Feature_229,0.0003887471387947638
Feature_352,0.0003881977869176914
Feature_648,0.00038776143563039203
Feature_545,0.00038680936051585524
Feature_757,0.00038528908767622395
Feature_555,0.0003843957222214613
Feature_415,0.0003824910184378553
Feature_38,0.0003823987035517719
Feature_711,0.0003807566688316568
Feature_205,0.00037872186689825744
Feature_380,0.00037820187478491334
Feature_392,0.0003760729937104458
Feature_425,0.0003749708452490392
Feature_48,0.00037428612435948743
Feature_207,0.0003742596449288289
Feature_1023,0.000373772267449894
Feature_12,0.00037239148888499766
Feature_77,0.00036966306713068025
Feature_57,0.0003695237224242384
Feature_10,0.00036683755480867265
Feature_70,0.0003666468528123802
Feature_511,0.0003666284922638444
Feature_433,0.000364693680693251
Feature_258,0.000363787244522517
Feature_280,0.0003635628097062527
Feature_809,0.00036236452502685706
Feature_538,0.0003622463198890577
Feature_308,0.0003610695216701194
Feature_767,0.000357962356484969
Feature_479,0.00035729077483065386
Feature_838,0.0003568252941896737
Feature_866,0.00035676260478730037
Feature_1002,0.0003565292641671669
Feature_537,0.0003563906931688231
Feature_300,0.00035595782118389135
Feature_235,0.00035492035303921906
Feature_1005,0.0003548597161369596
Feature_969,0.00035464904076780017
Feature_682,0.000353720312015591
Feature_497,0.000351852769520237
Feature_79,0.0003508104775824807
Feature_412,0.00035078673972775216
Feature_797,0.0003504384291549499
Feature_643,0.00035037375862739106
Feature_87,0.00034920664078607016
Feature_728,0.0003455687223093341
Feature_287,0.00034514797899462974
Feature_649,0.0003449234179205204
Feature_910,0.00034417037264404017
Feature_880,0.00034352233143814984
Feature_708,0.00034032492928223285
Feature_279,0.0003389030097492863
Feature_622,0.00033756566331009523
Feature_612,0.00033653633204224707
Feature_169,0.00033544739745524667
Feature_521,0.0003346447889435944
Feature_720,0.0003344835005068272
Feature_619,0.0003338314627031359
Feature_893,0.00033288786558536003
Feature_413,0.00033193609469333695
Feature_324,0.0003311955436804237
Feature_763,0.00032698202991162154
Feature_175,0.0003255485964646833
Feature_850,0.000324956952299503
Feature_705,0.000324812492455316
Feature_489,0.0003245303943900176
Feature_435,0.000324016515960398
Feature_606,0.0003236917711722469
