feature,mean_absolute_shap
Feature_970,7.831563147831877e-05
Feature_913,7.802930576013909e-05
Feature_502,7.725337344100752e-05
Feature_57,7.708572357922723e-05
Feature_823,7.643152754833408e-05
Feature_98,7.62747574631902e-05
Feature_294,7.609463405151757e-05
Feature_910,7.52893304387154e-05
Feature_458,7.492080653479566e-05
Feature_271,7.410699706122799e-05
Feature_969,7.391251874237887e-05
Feature_444,7.37992443684675e-05
Feature_1022,7.363177630101205e-05
Feature_901,7.317206238896433e-05
Feature_815,7.148360183057464e-05
Feature_377,7.14772889429923e-05
Feature_573,7.144926688744313e-05
Feature_505,7.107931400475849e-05
Feature_589,7.092939622867541e-05
Feature_767,7.084903834668379e-05
Feature_761,7.079117813696456e-05
Feature_33,7.070063607449448e-05
Feature_1007,7.002093960405776e-05
Feature_661,7.000083216927357e-05
Feature_992,6.985039521934198e-05
Feature_174,6.982909020900116e-05
Feature_857,6.96428700977407e-05
Feature_490,6.883734280773549e-05
Feature_235,6.858335276542392e-05
Feature_688,6.796096837620823e-05
Feature_838,6.755603490045418e-05
Feature_630,6.641448383417837e-05
Feature_649,6.585794809639083e-05
Feature_403,6.551092148311002e-05
Feature_585,6.529871099913363e-05
Feature_164,6.405260205104924e-05
Feature_783,6.400227536217713e-05
Feature_893,6.265317329725522e-05
Feature_635,6.23022069588018e-05
Feature_643,6.129700290389198e-05
Feature_496,6.073186352267044e-05
Feature_162,6.012150922830985e-05
Feature_243,6.001266414854602e-05
Feature_536,5.9855374974927074e-05
Feature_796,5.939438972988003e-05
Feature_69,5.9288219001723513e-05
Feature_72,5.916243440452995e-05
Feature_299,5.882679576237988e-05
Feature_49,5.859324938210192e-05
Feature_13,5.778106593435374e-05
Feature_522,5.5712694733639274e-05
Feature_911,5.535918433910003e-05
Feature_169,5.497855255647436e-05
Feature_384,5.488874440186717e-05
Feature_859,5.389732989156033e-05
Feature_214,5.376003980201609e-05
Feature_76,5.3534357255799155e-05
Feature_934,5.3233057777538305e-05
Feature_770,5.286656237436204e-05
Feature_1021,5.212936782385783e-05
Feature_28,5.0888813574880484e-05
Feature_757,5.0715541395957326e-05
Feature_212,5.054264122606753e-05
Feature_44,4.997540020959832e-05
Feature_108,4.9491304955685695e-05
Feature_270,4.9359903621677206e-05
Feature_561,4.9318456708028436e-05
Feature_548,4.93089856450466e-05
Feature_538,4.9065274119206485e-05
Feature_385,4.876128155688947e-05
Feature_150,4.836647012997836e-05
Feature_943,4.7932702510837515e-05
Feature_112,4.7663215917882e-05
Feature_181,4.748371755626698e-05
Feature_399,4.676583366535956e-05
Feature_908,4.674018128647504e-05
Feature_3,4.643677936759546e-05
Feature_628,4.5942183491558836e-05
Feature_206,4.5434277083823814e-05
Feature_553,4.452937145824052e-05
Feature_1,4.4328187908746485e-05
Feature_840,4.424217422343873e-05
Feature_709,4.385732808462137e-05
Feature_466,4.3758198287181925e-05
Feature_614,4.321631404138204e-05
Feature_835,4.315519867825515e-05
Feature_577,4.310889812254147e-05
Feature_128,4.286275251004952e-05
Feature_413,4.2859490046063804e-05
Feature_774,4.2668630483535706e-05
Feature_400,4.264358408387357e-05
Feature_863,4.231593792534341e-05
Feature_809,4.175926649401307e-05
Feature_435,4.1641944067490046e-05
Feature_545,4.1536566885838506e-05
Feature_825,4.1141148716346276e-05
Feature_436,4.081016595217407e-05
Feature_313,4.077977138131246e-05
Feature_207,3.974325779939252e-05
Feature_389,3.973442801948721e-05
Feature_749,3.960199288324301e-05
Feature_104,3.952448674816543e-05
Feature_116,3.911678888568666e-05
Feature_921,3.894374711136379e-05
Feature_73,3.8913173037340714e-05
Feature_507,3.8734683150357795e-05
Feature_797,3.8706419454928194e-05
Feature_769,3.865704691415174e-05
Feature_350,3.794871374223021e-05
Feature_612,3.743087480568761e-05
Feature_45,3.738555884681034e-05
Feature_371,3.7209182178548874e-05
Feature_776,3.719812152186534e-05
Feature_190,3.701085877518435e-05
Feature_556,3.6928407894598085e-05
Feature_520,3.6788237823000714e-05
Feature_391,3.665243462069723e-05
Feature_1005,3.628021027771169e-05
Feature_935,3.591673268269348e-05
Feature_881,3.578334533719955e-05
Feature_308,3.570600284316007e-05
Feature_156,3.5055733102034206e-05
Feature_971,3.503756364852251e-05
Feature_149,3.4526388546656506e-05
Feature_670,3.429609265367547e-05
Feature_939,3.405597501840703e-05
Feature_958,3.3962441918850476e-05
Feature_633,3.369366327458645e-05
Feature_598,3.355484113716969e-05
Feature_987,3.336039873933884e-05
Feature_265,3.28523745319046e-05
Feature_510,3.277206853043424e-05
Feature_106,3.2697061921179226e-05
Feature_874,3.2395004865634294e-05
Feature_281,3.228197297960379e-05
Feature_322,3.2035574438202735e-05
Feature_268,3.19825810017903e-05
Feature_124,3.1874463241658195e-05
Feature_806,3.0264506490445373e-05
Feature_245,3.0259352535675897e-05
Feature_944,3.021927597401091e-05
Feature_309,3.0199470621090546e-05
Feature_989,3.0117534217119177e-05
Feature_114,3.008626227039351e-05
Feature_662,2.9964333561179047e-05
